"Statistic Label","Year","Enterprise Size Class","UNIT","VALUE"
"Enterprises using Artificial Intelligence","2023","All Enterprises","%","8.1"
"Enterprises using Artificial Intelligence","2023","Small (10 to 49)","%","5.4"
"Enterprises using Artificial Intelligence","2023","Medium (50 to 249)","%","17.8"
"Enterprises using Artificial Intelligence","2023","Large (250 or more)","%","36.5"
"Enterprises using Artificial Intelligence","2024","All Enterprises","%","15.2"
"Enterprises using Artificial Intelligence","2024","Small (10 to 49)","%","12"
"Enterprises using Artificial Intelligence","2024","Medium (50 to 249)","%","25.1"
"Enterprises using Artificial Intelligence","2024","Large (250 or more)","%","51.2"
"Enterprises using Artificial Intelligence","2025","All Enterprises","%","20.2"
"Enterprises using Artificial Intelligence","2025","Small (10 to 49)","%","17.2"
"Enterprises using Artificial Intelligence","2025","Medium (50 to 249)","%","28.6"
"Enterprises using Artificial Intelligence","2025","Large (250 or more)","%","57.7"
"Enterprises using Artificial Intelligence for data mining","2023","All Enterprises","%","2.7"
"Enterprises using Artificial Intelligence for data mining","2023","Small (10 to 49)","%","1.5"
"Enterprises using Artificial Intelligence for data mining","2023","Medium (50 to 249)","%","7.2"
"Enterprises using Artificial Intelligence for data mining","2023","Large (250 or more)","%","14"
"Enterprises using Artificial Intelligence for data mining","2024","All Enterprises","%","6.5"
"Enterprises using Artificial Intelligence for data mining","2024","Small (10 to 49)","%","5.1"
"Enterprises using Artificial Intelligence for data mining","2024","Medium (50 to 249)","%","9.8"
"Enterprises using Artificial Intelligence for data mining","2024","Large (250 or more)","%","28.1"
"Enterprises using Artificial Intelligence for data mining","2025","All Enterprises","%","10.8"
"Enterprises using Artificial Intelligence for data mining","2025","Small (10 to 49)","%","9"
"Enterprises using Artificial Intelligence for data mining","2025","Medium (50 to 249)","%","15.8"
"Enterprises using Artificial Intelligence for data mining","2025","Large (250 or more)","%","34.6"
"Enterprises using Artificial Intelligence for speech recognition","2023","All Enterprises","%","1.5"
"Enterprises using Artificial Intelligence for speech recognition","2023","Small (10 to 49)","%","0.7"
"Enterprises using Artificial Intelligence for speech recognition","2023","Medium (50 to 249)","%","3.9"
"Enterprises using Artificial Intelligence for speech recognition","2023","Large (250 or more)","%","10.7"
"Enterprises using Artificial Intelligence for speech recognition","2024","All Enterprises","%","4.5"
"Enterprises using Artificial Intelligence for speech recognition","2024","Small (10 to 49)","%","3.2"
"Enterprises using Artificial Intelligence for speech recognition","2024","Medium (50 to 249)","%","8.3"
"Enterprises using Artificial Intelligence for speech recognition","2024","Large (250 or more)","%","20.4"
"Enterprises using Artificial Intelligence for speech recognition","2025","All Enterprises","%","6"
"Enterprises using Artificial Intelligence for speech recognition","2025","Small (10 to 49)","%","4.4"
"Enterprises using Artificial Intelligence for speech recognition","2025","Medium (50 to 249)","%","10.9"
"Enterprises using Artificial Intelligence for speech recognition","2025","Large (250 or more)","%","23.8"
"Enterprises using Artificial Intelligence for natural language generation","2023","All Enterprises","%","2.2"
"Enterprises using Artificial Intelligence for natural language generation","2023","Small (10 to 49)","%","1.7"
"Enterprises using Artificial Intelligence for natural language generation","2023","Medium (50 to 249)","%","3.6"
"Enterprises using Artificial Intelligence for natural language generation","2023","Large (250 or more)","%","10.9"
"Enterprises using Artificial Intelligence for natural language generation","2024","All Enterprises","%","7.4"
"Enterprises using Artificial Intelligence for natural language generation","2024","Small (10 to 49)","%","6.3"
"Enterprises using Artificial Intelligence for natural language generation","2024","Medium (50 to 249)","%","10.2"
"Enterprises using Artificial Intelligence for natural language generation","2024","Large (250 or more)","%","23.6"
"Enterprises using Artificial Intelligence for natural language generation","2025","All Enterprises","%","9.3"
"Enterprises using Artificial Intelligence for natural language generation","2025","Small (10 to 49)","%","7.9"
"Enterprises using Artificial Intelligence for natural language generation","2025","Medium (50 to 249)","%","12.5"
"Enterprises using Artificial Intelligence for natural language generation","2025","Large (250 or more)","%","30"
"Enterprises using Artificial Intelligence for image recognition or processing","2023","All Enterprises","%","1.4"
"Enterprises using Artificial Intelligence for image recognition or processing","2023","Small (10 to 49)","%","0.8"
"Enterprises using Artificial Intelligence for image recognition or processing","2023","Medium (50 to 249)","%","3.5"
"Enterprises using Artificial Intelligence for image recognition or processing","2023","Large (250 or more)","%","8.9"
"Enterprises using Artificial Intelligence for image recognition or processing","2024","All Enterprises","%","3.2"
"Enterprises using Artificial Intelligence for image recognition or processing","2024","Small (10 to 49)","%","2.4"
"Enterprises using Artificial Intelligence for image recognition or processing","2024","Medium (50 to 249)","%","4.7"
"Enterprises using Artificial Intelligence for image recognition or processing","2024","Large (250 or more)","%","16.8"
"Enterprises using Artificial Intelligence for image recognition or processing","2025","All Enterprises","%","2.8"
"Enterprises using Artificial Intelligence for image recognition or processing","2025","Small (10 to 49)","%","2"
"Enterprises using Artificial Intelligence for image recognition or processing","2025","Medium (50 to 249)","%","4.6"
"Enterprises using Artificial Intelligence for image recognition or processing","2025","Large (250 or more)","%","13.8"
"Enterprises using Artificial Intelligence for machine learning","2023","All Enterprises","%","3"
"Enterprises using Artificial Intelligence for machine learning","2023","Small (10 to 49)","%","1.5"
"Enterprises using Artificial Intelligence for machine learning","2023","Medium (50 to 249)","%","8.2"
"Enterprises using Artificial Intelligence for machine learning","2023","Large (250 or more)","%","20"
"Enterprises using Artificial Intelligence for machine learning","2024","All Enterprises","%","5.6"
"Enterprises using Artificial Intelligence for machine learning","2024","Small (10 to 49)","%","4.1"
"Enterprises using Artificial Intelligence for machine learning","2024","Medium (50 to 249)","%","9.7"
"Enterprises using Artificial Intelligence for machine learning","2024","Large (250 or more)","%","27.6"
"Enterprises using Artificial Intelligence for machine learning","2025","All Enterprises","%","6"
"Enterprises using Artificial Intelligence for machine learning","2025","Small (10 to 49)","%","4.2"
"Enterprises using Artificial Intelligence for machine learning","2025","Medium (50 to 249)","%","11.6"
"Enterprises using Artificial Intelligence for machine learning","2025","Large (250 or more)","%","27.4"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2023","All Enterprises","%","4.4"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2023","Small (10 to 49)","%","2.3"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2023","Medium (50 to 249)","%","12.2"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2023","Large (250 or more)","%","21.9"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2024","All Enterprises","%","6.4"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2024","Small (10 to 49)","%","4.3"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2024","Medium (50 to 249)","%","12.4"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2024","Large (250 or more)","%","30.4"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2025","All Enterprises","%","6.2"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2025","Small (10 to 49)","%","4.3"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2025","Medium (50 to 249)","%","11.6"
"Enterprises using Artificial Intelligence for automating workflows or assisting in decision making","2025","Large (250 or more)","%","28.6"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2023","All Enterprises","%","0.7"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2023","Small (10 to 49)","%",""
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2023","Medium (50 to 249)","%","1.9"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2023","Large (250 or more)","%","7.8"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2024","All Enterprises","%","1"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2024","Small (10 to 49)","%","0.6"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2024","Medium (50 to 249)","%","1.5"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2024","Large (250 or more)","%","9.4"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2025","All Enterprises","%","0.8"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2025","Small (10 to 49)","%","0.3"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2025","Medium (50 to 249)","%","2.1"
"Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions","2025","Large (250 or more)","%","7.9"
