year,age_group,edu_level,unemployment_value
2019,All ages,Less than primary (Level 0),
2019,All ages,Primary and lower secondary education (Levels 1-2),3.8
2019,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.9
2019,All ages,Tertiary education (Levels 5-8),0.8
2019,All ages,Less than primary (Level 0),
2019,All ages,Primary and lower secondary education (Levels 1-2),4.2
2019,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),2.0
2019,All ages,Tertiary education (Levels 5-8),0.9
2019,All ages,Less than primary (Level 0),
2019,All ages,Primary and lower secondary education (Levels 1-2),2.8
2019,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.8
2019,All ages,Tertiary education (Levels 5-8),0.7
2019,15 - 24 years,Less than primary (Level 0),
2019,15 - 24 years,Primary and lower secondary education (Levels 1-2),5.8
2019,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),2.3
2019,15 - 24 years,Tertiary education (Levels 5-8),
2019,15 - 24 years,Less than primary (Level 0),
2019,15 - 24 years,Primary and lower secondary education (Levels 1-2),8.3
2019,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),2.7
2019,15 - 24 years,Tertiary education (Levels 5-8),
2019,15 - 24 years,Less than primary (Level 0),
2019,15 - 24 years,Primary and lower secondary education (Levels 1-2),
2019,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.9
2019,15 - 24 years,Tertiary education (Levels 5-8),
2019,25 - 54 years,Less than primary (Level 0),
2019,25 - 54 years,Primary and lower secondary education (Levels 1-2),4.7
2019,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.8
2019,25 - 54 years,Tertiary education (Levels 5-8),0.8
2019,25 - 54 years,Less than primary (Level 0),
2019,25 - 54 years,Primary and lower secondary education (Levels 1-2),5.3
2019,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.8
2019,25 - 54 years,Tertiary education (Levels 5-8),0.9
2019,25 - 54 years,Less than primary (Level 0),
2019,25 - 54 years,Primary and lower secondary education (Levels 1-2),3.0
2019,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.8
2019,25 - 54 years,Tertiary education (Levels 5-8),0.7
2019,55 - 74 years,Less than primary (Level 0),
2019,55 - 74 years,Primary and lower secondary education (Levels 1-2),2.0
2019,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.9
2019,55 - 74 years,Tertiary education (Levels 5-8),1.1
2019,55 - 74 years,Less than primary (Level 0),
2019,55 - 74 years,Primary and lower secondary education (Levels 1-2),1.8
2019,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),2.1
2019,55 - 74 years,Tertiary education (Levels 5-8),1.4
2019,55 - 74 years,Less than primary (Level 0),
2019,55 - 74 years,Primary and lower secondary education (Levels 1-2),
2019,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.7
2019,55 - 74 years,Tertiary education (Levels 5-8),
2020,All ages,Less than primary (Level 0),
2020,All ages,Primary and lower secondary education (Levels 1-2),2.8
2020,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.9
2020,All ages,Tertiary education (Levels 5-8),0.7
2020,All ages,Less than primary (Level 0),
2020,All ages,Primary and lower secondary education (Levels 1-2),3.0
2020,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.7
2020,All ages,Tertiary education (Levels 5-8),0.7
2020,All ages,Less than primary (Level 0),
2020,All ages,Primary and lower secondary education (Levels 1-2),2.1
2020,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),2.1
2020,All ages,Tertiary education (Levels 5-8),0.7
2020,15 - 24 years,Less than primary (Level 0),
2020,15 - 24 years,Primary and lower secondary education (Levels 1-2),
2020,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),2.1
2020,15 - 24 years,Tertiary education (Levels 5-8),
2020,15 - 24 years,Less than primary (Level 0),
2020,15 - 24 years,Primary and lower secondary education (Levels 1-2),
2020,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),2.2
2020,15 - 24 years,Tertiary education (Levels 5-8),
2020,15 - 24 years,Less than primary (Level 0),
2020,15 - 24 years,Primary and lower secondary education (Levels 1-2),
2020,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),
2020,15 - 24 years,Tertiary education (Levels 5-8),
2020,25 - 54 years,Less than primary (Level 0),
2020,25 - 54 years,Primary and lower secondary education (Levels 1-2),3.3
2020,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.9
2020,25 - 54 years,Tertiary education (Levels 5-8),0.7
2020,25 - 54 years,Less than primary (Level 0),
2020,25 - 54 years,Primary and lower secondary education (Levels 1-2),3.5
2020,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.5
2020,25 - 54 years,Tertiary education (Levels 5-8),0.7
2020,25 - 54 years,Less than primary (Level 0),
2020,25 - 54 years,Primary and lower secondary education (Levels 1-2),
2020,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),2.4
2020,25 - 54 years,Tertiary education (Levels 5-8),0.7
2020,55 - 74 years,Less than primary (Level 0),
2020,55 - 74 years,Primary and lower secondary education (Levels 1-2),2.1
2020,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.6
2020,55 - 74 years,Tertiary education (Levels 5-8),0.9
2020,55 - 74 years,Less than primary (Level 0),
2020,55 - 74 years,Primary and lower secondary education (Levels 1-2),2.4
2020,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.7
2020,55 - 74 years,Tertiary education (Levels 5-8),
2020,55 - 74 years,Less than primary (Level 0),
2020,55 - 74 years,Primary and lower secondary education (Levels 1-2),
2020,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.4
2020,55 - 74 years,Tertiary education (Levels 5-8),
2021,All ages,Less than primary (Level 0),
2021,All ages,Primary and lower secondary education (Levels 1-2),3.1
2021,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),2.3
2021,All ages,Tertiary education (Levels 5-8),1.2
2021,All ages,Less than primary (Level 0),
2021,All ages,Primary and lower secondary education (Levels 1-2),3.2
2021,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),2.5
2021,All ages,Tertiary education (Levels 5-8),1.3
2021,All ages,Less than primary (Level 0),
2021,All ages,Primary and lower secondary education (Levels 1-2),3.0
2021,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.9
2021,All ages,Tertiary education (Levels 5-8),1.1
2021,15 - 24 years,Less than primary (Level 0),
2021,15 - 24 years,Primary and lower secondary education (Levels 1-2),
2021,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),2.6
2021,15 - 24 years,Tertiary education (Levels 5-8),
2021,15 - 24 years,Less than primary (Level 0),
2021,15 - 24 years,Primary and lower secondary education (Levels 1-2),
2021,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),3.2
2021,15 - 24 years,Tertiary education (Levels 5-8),
2021,15 - 24 years,Less than primary (Level 0),
2021,15 - 24 years,Primary and lower secondary education (Levels 1-2),
2021,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),
2021,15 - 24 years,Tertiary education (Levels 5-8),
2021,25 - 54 years,Less than primary (Level 0),
2021,25 - 54 years,Primary and lower secondary education (Levels 1-2),4.1
2021,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),2.3
2021,25 - 54 years,Tertiary education (Levels 5-8),1.1
2021,25 - 54 years,Less than primary (Level 0),
2021,25 - 54 years,Primary and lower secondary education (Levels 1-2),4.2
2021,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),2.5
2021,25 - 54 years,Tertiary education (Levels 5-8),1.1
2021,25 - 54 years,Less than primary (Level 0),
2021,25 - 54 years,Primary and lower secondary education (Levels 1-2),
2021,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),2.0
2021,25 - 54 years,Tertiary education (Levels 5-8),1.0
2021,55 - 74 years,Less than primary (Level 0),
2021,55 - 74 years,Primary and lower secondary education (Levels 1-2),2.3
2021,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.8
2021,55 - 74 years,Tertiary education (Levels 5-8),2.0
2021,55 - 74 years,Less than primary (Level 0),
2021,55 - 74 years,Primary and lower secondary education (Levels 1-2),2.3
2021,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.9
2021,55 - 74 years,Tertiary education (Levels 5-8),2.0
2021,55 - 74 years,Less than primary (Level 0),
2021,55 - 74 years,Primary and lower secondary education (Levels 1-2),
2021,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.7
2021,55 - 74 years,Tertiary education (Levels 5-8),1.9
2022,All ages,Less than primary (Level 0),
2022,All ages,Primary and lower secondary education (Levels 1-2),3.0
2022,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.6
2022,All ages,Tertiary education (Levels 5-8),0.7
2022,All ages,Less than primary (Level 0),
2022,All ages,Primary and lower secondary education (Levels 1-2),3.3
2022,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.7
2022,All ages,Tertiary education (Levels 5-8),0.8
2022,All ages,Less than primary (Level 0),
2022,All ages,Primary and lower secondary education (Levels 1-2),2.5
2022,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.6
2022,All ages,Tertiary education (Levels 5-8),0.7
2022,15 - 24 years,Less than primary (Level 0),
2022,15 - 24 years,Primary and lower secondary education (Levels 1-2),
2022,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.2
2022,15 - 24 years,Tertiary education (Levels 5-8),
2022,15 - 24 years,Less than primary (Level 0),
2022,15 - 24 years,Primary and lower secondary education (Levels 1-2),
2022,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.6
2022,15 - 24 years,Tertiary education (Levels 5-8),
2022,15 - 24 years,Less than primary (Level 0),
2022,15 - 24 years,Primary and lower secondary education (Levels 1-2),
2022,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),
2022,15 - 24 years,Tertiary education (Levels 5-8),
2022,25 - 54 years,Less than primary (Level 0),
2022,25 - 54 years,Primary and lower secondary education (Levels 1-2),4.7
2022,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.9
2022,25 - 54 years,Tertiary education (Levels 5-8),0.7
2022,25 - 54 years,Less than primary (Level 0),
2022,25 - 54 years,Primary and lower secondary education (Levels 1-2),4.9
2022,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.7
2022,25 - 54 years,Tertiary education (Levels 5-8),0.8
2022,25 - 54 years,Less than primary (Level 0),
2022,25 - 54 years,Primary and lower secondary education (Levels 1-2),
2022,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),2.1
2022,25 - 54 years,Tertiary education (Levels 5-8),0.6
2022,55 - 74 years,Less than primary (Level 0),
2022,55 - 74 years,Primary and lower secondary education (Levels 1-2),2.0
2022,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.4
2022,55 - 74 years,Tertiary education (Levels 5-8),1.2
2022,55 - 74 years,Less than primary (Level 0),
2022,55 - 74 years,Primary and lower secondary education (Levels 1-2),1.8
2022,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.7
2022,55 - 74 years,Tertiary education (Levels 5-8),
2022,55 - 74 years,Less than primary (Level 0),
2022,55 - 74 years,Primary and lower secondary education (Levels 1-2),
2022,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),
2022,55 - 74 years,Tertiary education (Levels 5-8),
2023,All ages,Less than primary (Level 0),
2023,All ages,Primary and lower secondary education (Levels 1-2),2.6
2023,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.4
2023,All ages,Tertiary education (Levels 5-8),0.6
2023,All ages,Less than primary (Level 0),
2023,All ages,Primary and lower secondary education (Levels 1-2),2.9
2023,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.4
2023,All ages,Tertiary education (Levels 5-8),0.6
2023,All ages,Less than primary (Level 0),
2023,All ages,Primary and lower secondary education (Levels 1-2),2.1
2023,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.4
2023,All ages,Tertiary education (Levels 5-8),0.5
2023,15 - 24 years,Less than primary (Level 0),
2023,15 - 24 years,Primary and lower secondary education (Levels 1-2),
2023,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.4
2023,15 - 24 years,Tertiary education (Levels 5-8),
2023,15 - 24 years,Less than primary (Level 0),
2023,15 - 24 years,Primary and lower secondary education (Levels 1-2),
2023,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.4
2023,15 - 24 years,Tertiary education (Levels 5-8),
2023,15 - 24 years,Less than primary (Level 0),
2023,15 - 24 years,Primary and lower secondary education (Levels 1-2),
2023,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),
2023,15 - 24 years,Tertiary education (Levels 5-8),
2023,25 - 54 years,Less than primary (Level 0),
2023,25 - 54 years,Primary and lower secondary education (Levels 1-2),4.0
2023,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.5
2023,25 - 54 years,Tertiary education (Levels 5-8),0.5
2023,25 - 54 years,Less than primary (Level 0),
2023,25 - 54 years,Primary and lower secondary education (Levels 1-2),4.0
2023,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.5
2023,25 - 54 years,Tertiary education (Levels 5-8),0.5
2023,25 - 54 years,Less than primary (Level 0),
2023,25 - 54 years,Primary and lower secondary education (Levels 1-2),
2023,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.5
2023,25 - 54 years,Tertiary education (Levels 5-8),0.5
2023,55 - 74 years,Less than primary (Level 0),
2023,55 - 74 years,Primary and lower secondary education (Levels 1-2),2.0
2023,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.2
2023,55 - 74 years,Tertiary education (Levels 5-8),0.9
2023,55 - 74 years,Less than primary (Level 0),
2023,55 - 74 years,Primary and lower secondary education (Levels 1-2),2.1
2023,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),
2023,55 - 74 years,Tertiary education (Levels 5-8),
2023,55 - 74 years,Less than primary (Level 0),
2023,55 - 74 years,Primary and lower secondary education (Levels 1-2),
2023,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.4
2023,55 - 74 years,Tertiary education (Levels 5-8),
2024,All ages,Less than primary (Level 0),
2024,All ages,Primary and lower secondary education (Levels 1-2),1.9
2024,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.3
2024,All ages,Tertiary education (Levels 5-8),0.6
2024,All ages,Less than primary (Level 0),
2024,All ages,Primary and lower secondary education (Levels 1-2),1.7
2024,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.3
2024,All ages,Tertiary education (Levels 5-8),0.6
2024,All ages,Less than primary (Level 0),
2024,All ages,Primary and lower secondary education (Levels 1-2),2.2
2024,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.3
2024,All ages,Tertiary education (Levels 5-8),0.6
2024,15 - 24 years,Less than primary (Level 0),
2024,15 - 24 years,Primary and lower secondary education (Levels 1-2),
2024,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.4
2024,15 - 24 years,Tertiary education (Levels 5-8),
2024,15 - 24 years,Less than primary (Level 0),
2024,15 - 24 years,Primary and lower secondary education (Levels 1-2),
2024,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.6
2024,15 - 24 years,Tertiary education (Levels 5-8),
2024,15 - 24 years,Less than primary (Level 0),
2024,15 - 24 years,Primary and lower secondary education (Levels 1-2),
2024,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),
2024,15 - 24 years,Tertiary education (Levels 5-8),
2024,25 - 54 years,Less than primary (Level 0),
2024,25 - 54 years,Primary and lower secondary education (Levels 1-2),2.9
2024,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.3
2024,25 - 54 years,Tertiary education (Levels 5-8),0.5
2024,25 - 54 years,Less than primary (Level 0),
2024,25 - 54 years,Primary and lower secondary education (Levels 1-2),2.9
2024,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.1
2024,25 - 54 years,Tertiary education (Levels 5-8),0.5
2024,25 - 54 years,Less than primary (Level 0),
2024,25 - 54 years,Primary and lower secondary education (Levels 1-2),
2024,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.4
2024,25 - 54 years,Tertiary education (Levels 5-8),0.6
2024,55 - 74 years,Less than primary (Level 0),
2024,55 - 74 years,Primary and lower secondary education (Levels 1-2),1.3
2024,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.2
2024,55 - 74 years,Tertiary education (Levels 5-8),0.7
2024,55 - 74 years,Less than primary (Level 0),
2024,55 - 74 years,Primary and lower secondary education (Levels 1-2),
2024,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),
2024,55 - 74 years,Tertiary education (Levels 5-8),
2024,55 - 74 years,Less than primary (Level 0),
2024,55 - 74 years,Primary and lower secondary education (Levels 1-2),
2024,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),
2024,55 - 74 years,Tertiary education (Levels 5-8),
